grade,gender,number_of_ccas,parental_controls,most_used_platform
Grade 6,Male,4,Yes,Youtube
Grade 6,Male,2,Yes,Youtube
Grade 7,Female,3,No,Discord
Grade 10,Female,2,No,Instagram
Grade 7,Male,2,No,Youtube
Grade 7,Male,4,No,Youtube
Grade 6,Male,1,Yes,Youtube
Grade 9,Female,3,Yes,Instagram
Grade 8,Female,4,Yes,Instagram
Grade 6,Male,1,Yes,Youtube
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,How many CCAs are you enrolled in?,,
,,none,,
,,3,,
,,1,,
,,4,,
,,3,,
,,1,,
,,0,,
,,1,,
,,1,,
,,2,,
,,2,,
,,0,,
,,0,,
,,0,,
,,2 but one of them is cancelled due to coronavirus,,
,,0,,
,,0,,
,,none,,
,,,,
,,4,,
,,1,,
,,3,,
,,3,,
,,2,,
,,3,,
,,0,,
,,4,,
,,5,,
,,3,,
,,,,
,,1,,
,,1,,
,,4,,
,,4,,
,,2,,
,,2,,
,,two,,
,,0,,
,,None,,
,,"2, but because of covid, 1",,
,,1,,
,,1,,
,,1,,
,,3,,
,,0,,
,,2,,
,,1,,
,,1,,
,,4,,
,,1,,
,,,,
,,2,,
,,3? I forgot because it was a long time ago.,,
,,2,,
,,"Around 3, some CCA sessions are meetings only. ",,
,,4,,
,,4,,
,,None,,
,,1,,
,,2,,
,,1,,
,,2,,
,,2,,
,,1,,
,,3,,
,,0,,
,,2,,
,,0,,
,,2,,
,,3,,
,,4,,
,,0,,
,,"2, if shuyuan counts, 0 if not",,
,,0,,
,,1,,
,,1,,
,,3,,
,,2,,
,,0,,
,,4,,
,,2,,
,,3,,
,,2,,
,,2,,
,,4,,
,,1,,
,,3,,
,,4,,
,,1,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,How many CCAs are you enrolled in?,,
,,none,,
,,3,,
,,1,,
,,4,,
,,3,,
,,1,,
,,0,,
,,1,,
,,1,,
,,2,,
,,2,,
,,0,,
,,0,,
,,0,,
,,2 but one of them is cancelled due to coronavirus,,
,,0,,
,,0,,
,,none,,
,,,,
,,4,,
,,1,,
,,3,,
,,3,,
,,2,,
,,3,,
,,0,,
,,4,,
,,5,,
,,3,,
,,,,
,,1,,
,,1,,
,,4,,
,,4,,
,,2,,
,,2,,
,,two,,
,,0,,
,,None,,
,,"2, but because of covid, 1",,
,,1,,
,,1,,
,,1,,
,,3,,
,,0,,
,,2,,
,,1,,
,,1,,
,,4,,
,,1,,
,,,,
,,2,,
,,3? I forgot because it was a long time ago.,,
,,2,,
,,"Around 3, some CCA sessions are meetings only. ",,
,,4,,
,,4,,
,,None,,
,,1,,
,,2,,
,,1,,
,,2,,
,,2,,
,,1,,
,,3,,
,,0,,
,,2,,
,,0,,
,,2,,
,,3,,
,,4,,
,,0,,
,,"2, if shuyuan counts, 0 if not",,
,,0,,
,,1,,
,,1,,
,,3,,
,,2,,
,,0,,
,,4,,
,,2,,
,,3,,
,,2,,
,,2,,
,,4,,
,,1,,
,,3,,
,,4,,
,,1,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,How many CCAs are you enrolled in?,,
,,none,,
,,3,,
,,1,,
,,4,,
,,3,,
,,1,,
,,0,,
,,1,,
,,1,,
,,2,,
,,2,,
,,0,,
,,0,,
,,0,,
,,2 but one of them is cancelled due to coronavirus,,
,,0,,
,,0,,
,,none,,
,,,,
,,4,,
,,1,,
,,3,,
,,3,,
,,2,,
,,3,,
,,0,,
,,4,,
,,5,,
,,3,,
,,,,
,,1,,
,,1,,
,,4,,
,,4,,
,,2,,
,,2,,
,,two,,
,,0,,
,,None,,
,,"2, but because of covid, 1",,
,,1,,
,,1,,
,,1,,
,,3,,
,,0,,
,,2,,
,,1,,
,,1,,
,,4,,
,,1,,
,,,,
,,2,,
,,3? I forgot because it was a long time ago.,,
,,2,,
,,"Around 3, some CCA sessions are meetings only. ",,
,,4,,
,,4,,
,,None,,
,,1,,
,,2,,
,,1,,
,,2,,
,,2,,
,,1,,
,,3,,
,,0,,
,,2,,
,,0,,
,,2,,
,,3,,
,,4,,
,,0,,
,,"2, if shuyuan counts, 0 if not",,
,,0,,
,,1,,
,,1,,
,,3,,
,,2,,
,,0,,
,,4,,
,,2,,
,,3,,
,,2,,
,,2,,
,,4,,
,,1,,
,,3,,
,,4,,
,,1,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,How many CCAs are you enrolled in?,,
,,none,,
,,3,,
,,1,,
,,4,,
,,3,,
,,1,,
,,0,,
,,1,,
,,1,,
,,2,,
,,2,,
,,0,,
,,0,,
,,0,,
,,2 but one of them is cancelled due to coronavirus,,
,,0,,
,,0,,
,,none,,
,,,,
,,4,,
,,1,,
,,3,,
,,3,,
,,2,,
,,3,,
,,0,,
,,4,,
,,5,,
,,3,,
,,,,
,,1,,
,,1,,
,,4,,
,,4,,
,,2,,
,,2,,
,,two,,
,,0,,
,,None,,
,,"2, but because of covid, 1",,
,,1,,
,,1,,
,,1,,
,,3,,
,,0,,
,,2,,
,,1,,
,,1,,
,,4,,
,,1,,
,,,,
,,2,,
,,3? I forgot because it was a long time ago.,,
,,2,,
,,"Around 3, some CCA sessions are meetings only. ",,
,,4,,
,,4,,
,,None,,
,,1,,
,,2,,
,,1,,
,,2,,
,,2,,
,,1,,
,,3,,
,,0,,
,,2,,
,,0,,
,,2,,
,,3,,
,,4,,
,,0,,
,,"2, if shuyuan counts, 0 if not",,
,,0,,
,,1,,
,,1,,
,,3,,
,,2,,
,,0,,
,,4,,
,,2,,
,,3,,
,,2,,
,,2,,
,,4,,
,,1,,
,,3,,
,,4,,
,,1,,
